"total_training_time","baseline - train/loss","baseline - train/loss__MIN","baseline - train/loss__MAX","baseline - _step","baseline - _step__MIN","baseline - _step__MAX"
"0","11.091472625732422","11.091472625732422","11.091472625732422","1","1","1"
"243.04739952087402","5.221957723371308","5.221957723371308","5.221957723371308","2","2","2"
"512.5229444503784","4.3125331926518164","4.3125331926518164","4.3125331926518164","3","3","3"
"781.4890825748444","3.865207278628885","3.865207278628885","3.865207278628885","5","5","5"
"1049.4519934654236","3.6173394610414915","3.6173394610414915","3.6173394610414915","6","6","6"
"1317.5237820148468","3.6003165786427567","3.6003165786427567","3.6003165786427567","8","8","8"
"1585.4034759998322","3.497596545674274","3.497596545674274","3.497596545674274","9","9","9"
"1852.6958463191986","3.4605071696915877","3.4605071696915877","3.4605071696915877","10","10","10"
"2120.3936097621918","3.402789025463067","3.402789025463067","3.402789025463067","12","12","12"
"2388.142289876938","3.3655256822679376","3.3655256822679376","3.3655256822679376","13","13","13"
"2655.374404668808","3.3584858449485475","3.3584858449485475","3.3584858449485475","15","15","15"
"2923.0806488990784","3.3370515662090416","3.3370515662090416","3.3370515662090416","16","16","16"
"3190.837992668152","3.2864950775639072","3.2864950775639072","3.2864950775639072","17","17","17"
"3457.99693608284","3.2888132858413606","3.2888132858413606","3.2888132858413606","19","19","19"
"3725.388204574585","3.265255664496054","3.265255664496054","3.265255664496054","20","20","20"
"3992.5654973983765","3.280664788458961","3.280664788458961","3.280664788458961","22","22","22"
"4259.528025150299","3.222998948259108","3.222998948259108","3.222998948259108","23","23","23"
"4526.856203794479","3.2656549524165364","3.2656549524165364","3.2656549524165364","24","24","24"
"4794.077618122101","3.233760297415074","3.233760297415074","3.233760297415074","26","26","26"
"5061.010747432709","3.243365183886562","3.243365183886562","3.243365183886562","27","27","27"
"5328.558791637421","3.2139404307097204","3.2139404307097204","3.2139404307097204","29","29","29"
"5595.971645593643","3.1942450653249446","3.1942450653249446","3.1942450653249446","30","30","30"
"5863.121815919876","3.1477391474245375","3.1477391474245375","3.1477391474245375","31","31","31"
"6130.817422628403","3.1108339072335105","3.1108339072335105","3.1108339072335105","33","33","33"
"6398.086513757706","3.1176845745451454","3.1176845745451454","3.1176845745451454","34","34","34"
"6665.024264097214","3.2009824804039613","3.2009824804039613","3.2009824804039613","36","36","36"
"6932.137496948242","3.115880883799853","3.115880883799853","3.115880883799853","37","37","37"
"7198.980318069458","3.1570430375698826","3.1570430375698826","3.1570430375698826","38","38","38"
"7466.129297494888","3.1234947799964856","3.1234947799964856","3.1234947799964856","40","40","40"
"7733.240119695663","3.0769902157131015","3.0769902157131015","3.0769902157131015","41","41","41"
"8000.220943927765","3.04902569111534","3.04902569111534","3.04902569111534","43","43","43"
"8267.431724309921","3.0776833008972435","3.0776833008972435","3.0776833008972435","44","44","44"
"8534.44572687149","3.14544697428199","3.14544697428199","3.14544697428199","45","45","45"
"8801.505306005478","3.126599200630538","3.126599200630538","3.126599200630538","47","47","47"
"9068.934329986572","3.1165985868911363","3.1165985868911363","3.1165985868911363","48","48","48"
"9336.175400018692","3.055294491042325","3.055294491042325","3.055294491042325","50","50","50"
"9603.346567630768","3.059065851447598","3.059065851447598","3.059065851447598","51","51","51"
"9870.684187412262","3.121747588146305","3.121747588146305","3.121747588146305","52","52","52"
"10137.888043165207","3.060976676084214","3.060976676084214","3.060976676084214","54","54","54"
"10405.086143016815","3.0851076556552415","3.0851076556552415","3.0851076556552415","55","55","55"
"10672.39827656746","3.094697258228334","3.094697258228334","3.094697258228334","57","57","57"
"10939.62296628952","3.0883213897901265","3.0883213897901265","3.0883213897901265","58","58","58"
"11206.578847408295","3.0352560869475624","3.0352560869475624","3.0352560869475624","59","59","59"
"11473.880873680115","3.0304924711550094","3.0304924711550094","3.0304924711550094","61","61","61"
"11741.043724060059","3.101376860543817","3.101376860543817","3.101376860543817","62","62","62"
"12008.180650949478","3.1080385466276343","3.1080385466276343","3.1080385466276343","64","64","64"
"12275.678652763367","3.1391224180106487","3.1391224180106487","3.1391224180106487","65","65","65"
"12543.074620723724","3.1296448553414753","3.1296448553414753","3.1296448553414753","66","66","66"
"12810.153275489807","3.070630217091768","3.070630217091768","3.070630217091768","68","68","68"
"13077.225639820099","3.04589875837779","3.04589875837779","3.04589875837779","69","69","69"
"13344.220403671265","3.0707406873442022","3.0707406873442022","3.0707406873442022","71","71","71"
"13611.457112312317","3.033649455115258","3.033649455115258","3.033649455115258","72","72","72"
"13878.839617490768","3.0525368937829556","3.0525368937829556","3.0525368937829556","73","73","73"
"14145.878374576569","3.066826600099224","3.066826600099224","3.066826600099224","75","75","75"
"14413.206185102463","3.046853367816052","3.046853367816052","3.046853367816052","76","76","76"
"14680.712789297104","3.066715462277505","3.066715462277505","3.066715462277505","78","78","78"
"14947.852646112442","3.027557782216074","3.027557782216074","3.027557782216074","79","79","79"
"15215.147976636887","3.086231919118803","3.086231919118803","3.086231919118803","80","80","80"
"15482.64860534668","3.0757140390505118","3.0757140390505118","3.0757140390505118","82","82","82"
"15749.600529432297","2.989000819678457","2.989000819678457","2.989000819678457","83","83","83"
"16016.958209753036","3.067973438271956","3.067973438271956","3.067973438271956","85","85","85"
"16284.394643306732","3.1330052179109926","3.1330052179109926","3.1330052179109926","86","86","86"
"16551.43850660324","3.0228609532536304","3.0228609532536304","3.0228609532536304","87","87","87"
"16818.81442642212","3.048652201552579","3.048652201552579","3.048652201552579","89","89","89"
"17086.083420276642","3.110008917456747","3.110008917456747","3.110008917456747","90","90","90"
"17353.00004386902","3.096296746912744","3.096296746912744","3.096296746912744","92","92","92"
"17620.061857938766","3.0173309040586824","3.0173309040586824","3.0173309040586824","93","93","93"
"17887.433384895325","3.0532350652751092","3.0532350652751092","3.0532350652751092","94","94","94"
"18154.387808084488","3.1003661026571443","3.1003661026571443","3.1003661026571443","96","96","96"
"18421.586980819702","3.0321992454003532","3.0321992454003532","3.0321992454003532","97","97","97"
"18688.665925979614","3.035295464246272","3.035295464246272","3.035295464246272","99","99","99"
"18955.786034345627","3.0186864858751887","3.0186864858751887","3.0186864858751887","100","100","100"
"19223.324982881546","3.0563090622887725","3.0563090622887725","3.0563090622887725","101","101","101"
"19490.57307076454","3.0601444043881427","3.0601444043881427","3.0601444043881427","103","103","103"
"19757.728730916977","3.054932970736429","3.054932970736429","3.054932970736429","104","104","104"
"20025.120316267014","2.9926651168114233","2.9926651168114233","2.9926651168114233","106","106","106"
"20292.490073919296","3.0434190195004422","3.0434190195004422","3.0434190195004422","107","107","107"
"20559.756002664566","3.0105247248937834","3.0105247248937834","3.0105247248937834","108","108","108"
"20827.20841741562","2.991253405536873","2.991253405536873","2.991253405536873","110","110","110"
"21094.53032374382","3.0786892145895117","3.0786892145895117","3.0786892145895117","111","111","111"
"21361.542943954468","3.0414164624494724","3.0414164624494724","3.0414164624494724","113","113","113"
"21629.109929561615","2.9014169959384457","2.9014169959384457","2.9014169959384457","114","114","114"
"21896.315536737442","3.0323501739517487","3.0323501739517487","3.0323501739517487","115","115","115"
"22163.537734031677","3.011375200818545","3.011375200818545","3.011375200818545","117","117","117"
"22430.880000591278","3.0196341228129753","3.0196341228129753","3.0196341228129753","118","118","118"
"22697.872669935226","3.0179229712642233","3.0179229712642233","3.0179229712642233","120","120","120"
"22964.888165473938","3.048364384097474","3.048364384097474","3.048364384097474","121","121","121"
"23232.304671764374","3.0469030197815616","3.0469030197815616","3.0469030197815616","122","122","122"
"23499.409563064575","3.0111677355521733","3.0111677355521733","3.0111677355521733","124","124","124"
"23766.53809952736","3.032229911989356","3.032229911989356","3.032229911989356","125","125","125"
"24033.76897406578","3.080471330147869","3.080471330147869","3.080471330147869","127","127","127"
"24300.747861146927","2.9776488479784518","2.9776488479784518","2.9776488479784518","128","128","128"
"24567.713534832","3.0047668089698347","3.0047668089698347","3.0047668089698347","129","129","129"
"24834.83851146698","3.0429419629932273","3.0429419629932273","3.0429419629932273","131","131","131"
"25101.931589365005","2.940310953006909","2.940310953006909","2.940310953006909","132","132","132"
"25368.931099653244","3.001118346912727","3.001118346912727","3.001118346912727","134","134","134"
