"time","single - client_0/train_loss","single - client_0/train_loss__MIN","single - client_0/train_loss__MAX","single - _step","single - _step__MIN","single - _step__MAX"
"74","11.090120315551758","11.090120315551758","11.090120315551758","0","0","0"
"84","8.17609977722168","8.17609977722168","8.17609977722168","4","4","4"
"87","7.663955211639404","7.663955211639404","7.663955211639404","5","5","5"
"98","7.028622627258301","7.028622627258301","7.028622627258301","9","9","9"
"104","6.924049377441406","6.924049377441406","6.924049377441406","11","11","11"
"112","6.503969669342041","6.503969669342041","6.503969669342041","14","14","14"
"117","6.447599411010742","6.447599411010742","6.447599411010742","16","16","16"
"120","6.409367561340332","6.409367561340332","6.409367561340332","17","17","17"
"123","6.325905799865723","6.325905799865723","6.325905799865723","18","18","18"
"126","6.282785892486572","6.282785892486572","6.282785892486572","19","19","19"
"131","6.161115646362305","6.161115646362305","6.161115646362305","21","21","21"
"142","6.236651420593262","6.236651420593262","6.236651420593262","25","25","25"
"145","6.136815071105957","6.136815071105957","6.136815071105957","26","26","26"
"164","5.865439414978027","5.865439414978027","5.865439414978027","33","33","33"
"167","5.963798522949219","5.963798522949219","5.963798522949219","34","34","34"
"170","6.076812744140625","6.076812744140625","6.076812744140625","35","35","35"
"172","6.184866428375244","6.184866428375244","6.184866428375244","36","36","36"
"181","5.877849578857422","5.877849578857422","5.877849578857422","39","39","39"
"189","5.858560562133789","5.858560562133789","5.858560562133789","42","42","42"
"195","6.121814727783203","6.121814727783203","6.121814727783203","44","44","44"
"200","5.865595817565918","5.865595817565918","5.865595817565918","46","46","46"
"206","5.898928165435791","5.898928165435791","5.898928165435791","48","48","48"
"211","5.842316627502441","5.842316627502441","5.842316627502441","50","50","50"
"214","6.130814552307129","6.130814552307129","6.130814552307129","51","51","51"
"217","5.848046779632568","5.848046779632568","5.848046779632568","52","52","52"
"228","5.765865325927734","5.765865325927734","5.765865325927734","56","56","56"
"231","5.652863502502441","5.652863502502441","5.652863502502441","57","57","57"
"233","5.519701957702637","5.519701957702637","5.519701957702637","58","58","58"
"236","5.445508003234863","5.445508003234863","5.445508003234863","59","59","59"
"244","5.745939254760742","5.745939254760742","5.745939254760742","62","62","62"
"247","5.592309951782227","5.592309951782227","5.592309951782227","63","63","63"
"255","5.588766098022461","5.588766098022461","5.588766098022461","66","66","66"
"261","5.380621910095215","5.380621910095215","5.380621910095215","68","68","68"
"266","5.517195701599121","5.517195701599121","5.517195701599121","70","70","70"
"269","5.474827766418457","5.474827766418457","5.474827766418457","71","71","71"
"272","5.663809776306152","5.663809776306152","5.663809776306152","72","72","72"
"275","5.490583419799805","5.490583419799805","5.490583419799805","73","73","73"
"277","5.389787197113037","5.389787197113037","5.389787197113037","74","74","74"
"283","5.213438510894775","5.213438510894775","5.213438510894775","76","76","76"
"286","5.446073532104492","5.446073532104492","5.446073532104492","77","77","77"
"291","5.378801345825195","5.378801345825195","5.378801345825195","79","79","79"
"300","5.235052108764648","5.235052108764648","5.235052108764648","82","82","82"
"302","5.224013805389404","5.224013805389404","5.224013805389404","83","83","83"
"313","5.433530330657959","5.433530330657959","5.433530330657959","87","87","87"
"316","5.1508588790893555","5.1508588790893555","5.1508588790893555","88","88","88"
"324","5.125914096832275","5.125914096832275","5.125914096832275","91","91","91"
"330","5.017396450042725","5.017396450042725","5.017396450042725","93","93","93"
"333","5.111850738525391","5.111850738525391","5.111850738525391","94","94","94"
"338","5.431501865386963","5.431501865386963","5.431501865386963","96","96","96"
"346","4.582658767700195","4.582658767700195","4.582658767700195","99","99","99"
"349","4.7799882888793945","4.7799882888793945","4.7799882888793945","100","100","100"
"355","5.1008405685424805","5.1008405685424805","5.1008405685424805","102","102","102"
"363","4.842132568359375","4.842132568359375","4.842132568359375","105","105","105"
"369","5.485734939575195","5.485734939575195","5.485734939575195","107","107","107"
"371","4.802250385284424","4.802250385284424","4.802250385284424","108","108","108"
"396","4.663602352142334","4.663602352142334","4.663602352142334","117","117","117"
"399","5.237114906311035","5.237114906311035","5.237114906311035","118","118","118"
"407","4.722187042236328","4.722187042236328","4.722187042236328","121","121","121"
"413","4.935934066772461","4.935934066772461","4.935934066772461","123","123","123"
"418","4.736220836639404","4.736220836639404","4.736220836639404","125","125","125"
"424","4.818593502044678","4.818593502044678","4.818593502044678","127","127","127"
"446","4.651719093322754","4.651719093322754","4.651719093322754","135","135","135"
"449","4.361528396606445","4.361528396606445","4.361528396606445","136","136","136"
"454","4.36252498626709","4.36252498626709","4.36252498626709","138","138","138"
"457","4.7235541343688965","4.7235541343688965","4.7235541343688965","139","139","139"
"465","4.69734001159668","4.69734001159668","4.69734001159668","142","142","142"
"468","4.580921173095703","4.580921173095703","4.580921173095703","143","143","143"
"473","4.564765930175781","4.564765930175781","4.564765930175781","145","145","145"
"476","4.477117538452148","4.477117538452148","4.477117538452148","146","146","146"
"482","4.705053329467773","4.705053329467773","4.705053329467773","148","148","148"
