"time","2 client - client_0/train_loss","2 client - client_0/train_loss__MIN","2 client - client_0/train_loss__MAX","2 client - _step","2 client - _step__MIN","2 client - _step__MAX"
"81","11.090288162231445","11.090288162231445","11.090288162231445","0","0","0"
"84","11.742051124572754","11.742051124572754","11.742051124572754","1","1","1"
"89","10.473173141479492","10.473173141479492","10.473173141479492","3","3","3"
"92","8.532486915588379","8.532486915588379","8.532486915588379","7","7","7"
"95","8.304769515991211","8.304769515991211","8.304769515991211","8","8","8"
"100","8.480208396911621","8.480208396911621","8.480208396911621","10","10","10"
"103","7.799211502075195","7.799211502075195","7.799211502075195","14","14","14"
"105","7.471988201141357","7.471988201141357","7.471988201141357","15","15","15"
"108","7.2306904792785645","7.2306904792785645","7.2306904792785645","16","16","16"
"111","7.210628509521484","7.210628509521484","7.210628509521484","21","21","21"
"114","6.841225624084473","6.841225624084473","6.841225624084473","22","22","22"
"119","6.607017517089844","6.607017517089844","6.607017517089844","24","24","24"
"122","6.678640842437744","6.678640842437744","6.678640842437744","28","28","28"
"124","6.537710189819336","6.537710189819336","6.537710189819336","29","29","29"
"127","6.465089797973633","6.465089797973633","6.465089797973633","30","30","30"
"130","6.4117279052734375","6.4117279052734375","6.4117279052734375","31","31","31"
"133","6.382312297821045","6.382312297821045","6.382312297821045","36","36","36"
"136","6.416823387145996","6.416823387145996","6.416823387145996","37","37","37"
"138","6.243304252624512","6.243304252624512","6.243304252624512","38","38","38"
"141","6.3246989250183105","6.3246989250183105","6.3246989250183105","43","43","43"
"144","6.231708526611328","6.231708526611328","6.231708526611328","44","44","44"
"146","6.117867469787598","6.117867469787598","6.117867469787598","45","45","45"
"149","6.298025131225586","6.298025131225586","6.298025131225586","46","46","46"
"152","6.182982921600342","6.182982921600342","6.182982921600342","50","50","50"
"155","6.2082929611206055","6.2082929611206055","6.2082929611206055","51","51","51"
"157","6.228267669677734","6.228267669677734","6.228267669677734","52","52","52"
"160","6.077219009399414","6.077219009399414","6.077219009399414","57","57","57"
"163","6.149731636047363","6.149731636047363","6.149731636047363","58","58","58"
"166","6.420881271362305","6.420881271362305","6.420881271362305","59","59","59"
"168","6.371523380279541","6.371523380279541","6.371523380279541","60","60","60"
"171","5.895876884460449","5.895876884460449","5.895876884460449","64","64","64"
"174","5.990649223327637","5.990649223327637","5.990649223327637","65","65","65"
"177","6.091441631317139","6.091441631317139","6.091441631317139","66","66","66"
"179","6.175217628479004","6.175217628479004","6.175217628479004","67","67","67"
"182","6.08573055267334","6.08573055267334","6.08573055267334","72","72","72"
"185","6.25372838973999","6.25372838973999","6.25372838973999","73","73","73"
"188","5.893820285797119","5.893820285797119","5.893820285797119","74","74","74"
"190","5.9827165603637695","5.9827165603637695","5.9827165603637695","79","79","79"
"193","5.775652885437012","5.775652885437012","5.775652885437012","80","80","80"
"196","5.8600053787231445","5.8600053787231445","5.8600053787231445","81","81","81"
"199","6.145746231079102","6.145746231079102","6.145746231079102","82","82","82"
"201","6.112897872924805","6.112897872924805","6.112897872924805","86","86","86"
"204","5.801782131195068","5.801782131195068","5.801782131195068","87","87","87"
"207","5.87994384765625","5.87994384765625","5.87994384765625","88","88","88"
"210","5.888104438781738","5.888104438781738","5.888104438781738","89","89","89"
"213","5.8749566078186035","5.8749566078186035","5.8749566078186035","94","94","94"
"218","5.845328330993652","5.845328330993652","5.845328330993652","96","96","96"
"221","6.105728626251221","6.105728626251221","6.105728626251221","100","100","100"
"224","5.829681396484375","5.829681396484375","5.829681396484375","101","101","101"
"226","5.821101188659668","5.821101188659668","5.821101188659668","102","102","102"
"229","5.683065891265869","5.683065891265869","5.683065891265869","103","103","103"
"232","5.794649600982666","5.794649600982666","5.794649600982666","108","108","108"
"235","5.743640899658203","5.743640899658203","5.743640899658203","109","109","109"
"237","5.650559902191162","5.650559902191162","5.650559902191162","110","110","110"
"240","5.560399055480957","5.560399055480957","5.560399055480957","115","115","115"
"243","5.428518772125244","5.428518772125244","5.428518772125244","116","116","116"
"246","5.521758079528809","5.521758079528809","5.521758079528809","117","117","117"
"251","5.719648361206055","5.719648361206055","5.719648361206055","122","122","122"
"254","5.562631607055664","5.562631607055664","5.562631607055664","123","123","123"
"257","5.434412002563477","5.434412002563477","5.434412002563477","124","124","124"
"259","5.678287029266357","5.678287029266357","5.678287029266357","125","125","125"
"262","5.574760437011719","5.574760437011719","5.574760437011719","130","130","130"
"265","5.435423374176025","5.435423374176025","5.435423374176025","131","131","131"
"268","5.387692928314209","5.387692928314209","5.387692928314209","132","132","132"
"270","5.634110450744629","5.634110450744629","5.634110450744629","136","136","136"
"273","5.46528434753418","5.46528434753418","5.46528434753418","137","137","137"
"276","5.4570112228393555","5.4570112228393555","5.4570112228393555","138","138","138"
