"time","bs8,tbs524288,seq2048 - client_1/train_loss","bs8,tbs524288,seq2048 - client_1/train_loss__MIN","bs8,tbs524288,seq2048 - client_1/train_loss__MAX","bs8,tbs524288,seq2048 - _step","bs8,tbs524288,seq2048 - _step__MIN","bs8,tbs524288,seq2048 - _step__MAX"
"36650","2.5612893104553223","2.5612893104553223","2.5612893104553223","14248","14248","14248"
"36653","3.000715732574463","3.000715732574463","3.000715732574463","14249","14249","14249"
"36656","2.450801372528076","2.450801372528076","2.450801372528076","14250","14250","14250"
"36658","2.9659981727600098","2.9659981727600098","2.9659981727600098","14251","14251","14251"
"36661","3.1119086742401123","3.1119086742401123","3.1119086742401123","14255","14255","14255"
"36664","3.078615188598633","3.078615188598633","3.078615188598633","14256","14256","14256"
"36666","2.715153932571411","2.715153932571411","2.715153932571411","14257","14257","14257"
"36669","2.956845998764038","2.956845998764038","2.956845998764038","14258","14258","14258"
"36672","3.125011444091797","3.125011444091797","3.125011444091797","14262","14262","14262"
"36675","3.09533429145813","3.09533429145813","3.09533429145813","14263","14263","14263"
"36677","2.6916332244873047","2.6916332244873047","2.6916332244873047","14264","14264","14264"
"36680","2.8209023475646973","2.8209023475646973","2.8209023475646973","14269","14269","14269"
"36683","3.26570200920105","3.26570200920105","3.26570200920105","14270","14270","14270"
"36685","3.0738656520843506","3.0738656520843506","3.0738656520843506","14271","14271","14271"
"36688","3.085297107696533","3.085297107696533","3.085297107696533","14272","14272","14272"
"36691","2.917011260986328","2.917011260986328","2.917011260986328","14277","14277","14277"
"36693","2.9178316593170166","2.9178316593170166","2.9178316593170166","14278","14278","14278"
"36696","2.9941205978393555","2.9941205978393555","2.9941205978393555","14279","14279","14279"
"36699","3.1417856216430664","3.1417856216430664","3.1417856216430664","14280","14280","14280"
"36702","2.9510412216186523","2.9510412216186523","2.9510412216186523","14284","14284","14284"
"36704","2.8847832679748535","2.8847832679748535","2.8847832679748535","14285","14285","14285"
"36707","2.952965259552002","2.952965259552002","2.952965259552002","14286","14286","14286"
"36710","3.0965256690979004","3.0965256690979004","3.0965256690979004","14291","14291","14291"
"36712","2.980191230773926","2.980191230773926","2.980191230773926","14292","14292","14292"
"36715","3.0332624912261963","3.0332624912261963","3.0332624912261963","14293","14293","14293"
"36718","2.912031650543213","2.912031650543213","2.912031650543213","14294","14294","14294"
"36721","3.264615297317505","3.264615297317505","3.264615297317505","14298","14298","14298"
"36723","2.8198890686035156","2.8198890686035156","2.8198890686035156","14299","14299","14299"
"36726","3.092064380645752","3.092064380645752","3.092064380645752","14300","14300","14300"
"36729","2.8623788356781006","2.8623788356781006","2.8623788356781006","14301","14301","14301"
"36731","3.100937843322754","3.100937843322754","3.100937843322754","14306","14306","14306"
"36734","3.0186774730682373","3.0186774730682373","3.0186774730682373","14307","14307","14307"
"36737","3.028550148010254","3.028550148010254","3.028550148010254","14308","14308","14308"
"36740","3.0255231857299805","3.0255231857299805","3.0255231857299805","14309","14309","14309"
"36742","2.906087636947632","2.906087636947632","2.906087636947632","14314","14314","14314"
"36745","3.028536796569824","3.028536796569824","3.028536796569824","14315","14315","14315"
"36748","2.852358341217041","2.852358341217041","2.852358341217041","14316","14316","14316"
"36750","2.958388328552246","2.958388328552246","2.958388328552246","14320","14320","14320"
"36753","2.8904404640197754","2.8904404640197754","2.8904404640197754","14321","14321","14321"
"36756","3.008152723312378","3.008152723312378","3.008152723312378","14322","14322","14322"
"36759","2.9384756088256836","2.9384756088256836","2.9384756088256836","14323","14323","14323"
"36761","2.8410818576812744","2.8410818576812744","2.8410818576812744","14328","14328","14328"
"36764","3.046347141265869","3.046347141265869","3.046347141265869","14329","14329","14329"
"36767","3.124124050140381","3.124124050140381","3.124124050140381","14330","14330","14330"
"36769","3.0611486434936523","3.0611486434936523","3.0611486434936523","14331","14331","14331"
"36772","3.2240190505981445","3.2240190505981445","3.2240190505981445","14336","14336","14336"
"36775","3.093730926513672","3.093730926513672","3.093730926513672","14337","14337","14337"
"36778","3.104196310043335","3.104196310043335","3.104196310043335","14338","14338","14338"
"36780","2.882239818572998","2.882239818572998","2.882239818572998","14342","14342","14342"
"36783","2.721832752227783","2.721832752227783","2.721832752227783","14343","14343","14343"
"36786","3.168741464614868","3.168741464614868","3.168741464614868","14344","14344","14344"
"36788","3.025928020477295","3.025928020477295","3.025928020477295","14345","14345","14345"
"36791","3.012899398803711","3.012899398803711","3.012899398803711","14350","14350","14350"
"36794","2.8685989379882812","2.8685989379882812","2.8685989379882812","14351","14351","14351"
"36797","2.8275225162506104","2.8275225162506104","2.8275225162506104","14352","14352","14352"
"36799","2.8677916526794434","2.8677916526794434","2.8677916526794434","14353","14353","14353"
"36802","3.0265731811523438","3.0265731811523438","3.0265731811523438","14358","14358","14358"
"36805","2.554725170135498","2.554725170135498","2.554725170135498","14359","14359","14359"
"36808","3.0724167823791504","3.0724167823791504","3.0724167823791504","14360","14360","14360"
"36810","3.0310492515563965","3.0310492515563965","3.0310492515563965","14364","14364","14364"
"36813","3.0351979732513428","3.0351979732513428","3.0351979732513428","14365","14365","14365"
"36816","3.2933428287506104","3.2933428287506104","3.2933428287506104","14366","14366","14366"
"36818","2.856752872467041","2.856752872467041","2.856752872467041","14367","14367","14367"
"36821","2.643638849258423","2.643638849258423","2.643638849258423","14372","14372","14372"
"36824","2.935925245285034","2.935925245285034","2.935925245285034","14373","14373","14373"
"36827","2.8545405864715576","2.8545405864715576","2.8545405864715576","14374","14374","14374"
"36829","2.755078077316284","2.755078077316284","2.755078077316284","14375","14375","14375"
"36832","2.948913097381592","2.948913097381592","2.948913097381592","14379","14379","14379"
"36835","2.688632011413574","2.688632011413574","2.688632011413574","14380","14380","14380"
"36838","2.988534927368164","2.988534927368164","2.988534927368164","14381","14381","14381"
"36840","3.0276193618774414","3.0276193618774414","3.0276193618774414","14386","14386","14386"
"36843","2.9756288528442383","2.9756288528442383","2.9756288528442383","14387","14387","14387"
"36846","3.042701244354248","3.042701244354248","3.042701244354248","14388","14388","14388"
"36848","3.122735023498535","3.122735023498535","3.122735023498535","14389","14389","14389"
"36851","2.8774328231811523","2.8774328231811523","2.8774328231811523","14394","14394","14394"
"36854","2.7251815795898438","2.7251815795898438","2.7251815795898438","14395","14395","14395"
"36857","3.2213668823242188","3.2213668823242188","3.2213668823242188","14396","14396","14396"
"36859","2.6871588230133057","2.6871588230133057","2.6871588230133057","14397","14397","14397"
"36862","3.0520377159118652","3.0520377159118652","3.0520377159118652","14401","14401","14401"
"36865","3.0076587200164795","3.0076587200164795","3.0076587200164795","14402","14402","14402"
"36867","3.253948211669922","3.253948211669922","3.253948211669922","14403","14403","14403"
"36870","2.990074634552002","2.990074634552002","2.990074634552002","14408","14408","14408"
"36873","2.8339035511016846","2.8339035511016846","2.8339035511016846","14409","14409","14409"
"36876","2.779702663421631","2.779702663421631","2.779702663421631","14410","14410","14410"
"36878","3.027667999267578","3.027667999267578","3.027667999267578","14411","14411","14411"
"36881","3.04077410697937","3.04077410697937","3.04077410697937","14416","14416","14416"
"36884","2.92226505279541","2.92226505279541","2.92226505279541","14417","14417","14417"
"36887","2.92518949508667","2.92518949508667","2.92518949508667","14418","14418","14418"
"36889","2.9167966842651367","2.9167966842651367","2.9167966842651367","14419","14419","14419"
"36892","3.2410473823547363","3.2410473823547363","3.2410473823547363","14423","14423","14423"
"36895","2.431478261947632","2.431478261947632","2.431478261947632","14424","14424","14424"
"36897","3.067253351211548","3.067253351211548","3.067253351211548","14425","14425","14425"
"36900","2.8785595893859863","2.8785595893859863","2.8785595893859863","14430","14430","14430"
"36903","2.9012036323547363","2.9012036323547363","2.9012036323547363","14431","14431","14431"
"36906","2.7571170330047607","2.7571170330047607","2.7571170330047607","14432","14432","14432"
"36908","2.693667411804199","2.693667411804199","2.693667411804199","14433","14433","14433"
"36911","3.074582576751709","3.074582576751709","3.074582576751709","14437","14437","14437"
"36914","3.0920677185058594","3.0920677185058594","3.0920677185058594","14438","14438","14438"
"36917","3.0265181064605713","3.0265181064605713","3.0265181064605713","14439","14439","14439"
"36919","3.3213772773742676","3.3213772773742676","3.3213772773742676","14440","14440","14440"
"36922","2.9136056900024414","2.9136056900024414","2.9136056900024414","14445","14445","14445"
"36925","3.1654820442199707","3.1654820442199707","3.1654820442199707","14446","14446","14446"
"36927","2.9961133003234863","2.9961133003234863","2.9961133003234863","14447","14447","14447"
"36930","2.851025342941284","2.851025342941284","2.851025342941284","14452","14452","14452"
"36933","3.2374589443206787","3.2374589443206787","3.2374589443206787","14453","14453","14453"
"36936","2.8152995109558105","2.8152995109558105","2.8152995109558105","14454","14454","14454"
"36938","2.9663162231445312","2.9663162231445312","2.9663162231445312","14455","14455","14455"
"36941","2.855250358581543","2.855250358581543","2.855250358581543","14459","14459","14459"
"36944","2.843319892883301","2.843319892883301","2.843319892883301","14460","14460","14460"
"36947","2.9539575576782227","2.9539575576782227","2.9539575576782227","14461","14461","14461"
"36949","2.886098861694336","2.886098861694336","2.886098861694336","14462","14462","14462"
"36952","2.773599147796631","2.773599147796631","2.773599147796631","14467","14467","14467"
