wall_time,elapsed_s,event_type,round,client,details
2026-02-02 17:47:38,0.0,EXPERIMENT_START,,,"client_0, client_1, client_2"
2026-02-02 17:47:45,6.5,ROUND_START,1,,
2026-02-02 17:52:25,286.7,PROVISION_DECISION,,client_0,mci=68.945984
2026-02-02 17:52:25,286.7,PROVISION_START,,client_0,
2026-02-02 17:56:25,526.7,PROVISION_COMPLETE,,client_0,"pid=14417 gpus=0,1,2,3"
2026-02-02 17:56:35,536.5,CLIENT_CONNECTED,,client_0,flwr_node_id=5589231705202420641
2026-02-02 19:52:29,7490.3,DEPROVISION_MARKED,,client_0,mci=458.581512
2026-02-02 20:02:29,8090.7,DEPROVISION_STARTED,,client_0,mci=458.12792
2026-02-02 20:02:39,8100.7,DEPROVISION_MARKED,,client_0,mci=458.12792
2026-02-02 20:03:04,8125.4,DEPROVISION,,client_0,
2026-02-02 20:03:04,8125.4,ROUND_END,1,,clients=1
2026-02-02 20:03:06,8128.1,AGGREGATION,1,,num_clients=1
2026-02-02 20:03:06,8128.1,ROUND_START,2,,
2026-02-02 20:07:29,8390.8,PROVISION_DECISION,,client_0,mci=97.068688
2026-02-02 20:07:29,8390.8,PROVISION_START,,client_0,
2026-02-02 20:11:29,8630.8,PROVISION_COMPLETE,,client_0,"pid=97311 gpus=0,1,2,3"
2026-02-02 20:11:39,8641.0,CLIENT_CONNECTED,,client_0,flwr_node_id=15033379996697904301
2026-02-02 22:27:23,16785.0,PROVISION_DECISION,,client_2,mci=0.0
2026-02-02 22:27:23,16785.0,PROVISION_START,,client_2,
2026-02-02 22:31:23,17025.0,PROVISION_COMPLETE,,client_2,"pid=172915 gpus=4,5,6,7"
2026-02-02 22:32:06,17067.7,ROUND_END,2,,clients=2
2026-02-02 22:32:07,17069.3,AGGREGATION,2,,num_clients=1
2026-02-02 22:32:07,17069.3,ROUND_START,3,,
2026-02-02 22:32:14,17075.3,CLIENT_CONNECTED,,client_2,flwr_node_id=12622475460547750356
2026-02-02 22:42:58,17719.7,ROUND_END,3,,clients=2
2026-02-02 22:43:00,17722.1,AGGREGATION,3,,num_clients=2
2026-02-02 22:43:00,17722.1,ROUND_START,4,,
2026-02-02 22:53:52,18373.5,ROUND_END,4,,clients=2
2026-02-02 22:53:54,18375.7,AGGREGATION,4,,num_clients=2
2026-02-02 22:53:54,18375.7,ROUND_START,5,,
2026-02-02 23:04:43,19025.1,ROUND_END,5,,clients=2
2026-02-02 23:04:46,19027.3,AGGREGATION,5,,num_clients=2
2026-02-02 23:04:46,19027.3,ROUND_START,6,,
2026-02-02 23:15:34,19675.6,ROUND_END,6,,clients=2
2026-02-02 23:15:36,19677.5,AGGREGATION,6,,num_clients=2
2026-02-02 23:15:36,19677.5,ROUND_START,7,,
2026-02-02 23:26:23,20324.7,ROUND_END,7,,clients=2
2026-02-02 23:26:25,20326.8,AGGREGATION,7,,num_clients=2
2026-02-02 23:26:25,20326.8,ROUND_START,8,,
2026-02-02 23:37:11,20972.9,ROUND_END,8,,clients=2
2026-02-02 23:37:13,20974.6,AGGREGATION,8,,num_clients=2
2026-02-02 23:37:13,20974.6,ROUND_START,9,,
2026-02-02 23:47:58,21620.2,ROUND_END,9,,clients=2
2026-02-02 23:48:00,21622.0,AGGREGATION,9,,num_clients=2
2026-02-02 23:48:00,21622.0,ROUND_START,10,,
2026-02-02 23:58:49,22270.4,ROUND_END,10,,clients=2
2026-02-02 23:58:50,22272.0,AGGREGATION,10,,num_clients=2
2026-02-02 23:58:50,22272.0,ROUND_START,11,,
2026-02-03 00:09:37,22919.2,ROUND_END,11,,clients=2
2026-02-03 00:09:39,22921.0,AGGREGATION,11,,num_clients=2
2026-02-03 00:09:39,22921.0,ROUND_START,12,,
2026-02-03 00:12:28,23089.7,DEPROVISION_MARKED,,client_0,mci=464.9318
2026-02-03 00:20:24,23566.1,ROUND_END,12,,clients=2
2026-02-03 00:20:26,23567.7,AGGREGATION,12,,num_clients=2
2026-02-03 00:20:26,23567.7,ROUND_START,13,,
2026-02-03 00:22:28,23690.3,DEPROVISION_STARTED,,client_0,mci=462.210248
